Date,GC1_Gold,DXY_USD,SPX,FTSE100,EWJ,EWW,XLE,XLU,XLV,XLY,AAPL,ABMD,AMZN,DIA,HFC,MDY,MNST,MO,ODFI,ORLY,REGN,ROST,SPY,STZ,TSCO,URI,XLF,XLI,XLK,XLP
1991/3/8,371.2,86.31,374.95,2455,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/3/15,365.8,87.9,373.59,2494.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/3/22,363.5,89.47,367.48,2440.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/3/29,357.1,92.01,375.22,2456.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/4/5,359.8,90.64,375.36,2545.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/4/12,361.3,90.36,380.4,2526.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/4/19,356.7,92.71,384.2,2519.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/4/26,353.9,93.46,379.02,2471,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/5/3,355.5,93.41,380.8,2522.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/5/10,358.3,92.38,375.74,2524.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/5/17,356,92.95,372.39,2454,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/5/24,356.8,91.68,377.49,2471.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/5/31,361.4,93.15,389.83,2499.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/6/7,366.3,94.56,379.43,2506.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/6/14,367.1,95.79,382.29,2522.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/6/21,365.9,95.91,377.75,2487.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/6/28,370,96.03,371.16,2414.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/7/5,371.6,96.72,374.08,2484.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/7/12,369.6,95.15,380.25,2497.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/7/19,371.2,93.48,384.22,2541.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/7/26,366.3,93.52,380.93,2589.5,,,,,,,,,,,,,,,,,,,,,,,,,,
